FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,-1,11,0,
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,1002,6,0,1001-1500
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g8f6,-1,5,0,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b1c3,1002,27,0,1001-1500
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,f8c5,-1,90,0,
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,f1c4,1002,105,0,1001-1500
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,d7d6,-1,10,0,
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,e1g1,1002,4,0,1001-1500
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 1 5,c8g4,-1,22,0,
rn1qk2r/ppp2ppp/3p1n2/2b1p3/2B1P1b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 2 6,a2a3,1002,18,0,1001-1500
rn1qk2r/ppp2ppp/3p1n2/2b1p3/2B1P1b1/P1N2N2/1PPP1PPP/R1BQ1RK1 b kq - 0 6,b8c6,-1,7,0,
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1P1b1/P1N2N2/1PPP1PPP/R1BQ1RK1 w kq - 1 7,b2b4,1002,30,0,1001-1500
r2qk2r/ppp2ppp/2np1n2/2b1p3/1PB1P1b1/P1N2N2/2PP1PPP/R1BQ1RK1 b kq - 0 7,c5b6,-1,0,0,
r2qk2r/ppp2ppp/1bnp1n2/4p3/1PB1P1b1/P1N2N2/2PP1PPP/R1BQ1RK1 w kq - 1 8,d2d3,1002,139,0,1001-1500
r2qk2r/ppp2ppp/1bnp1n2/4p3/1PB1P1b1/P1NP1N2/2P2PPP/R1BQ1RK1 b kq - 0 8,c6d4,-1,1,0,
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PBnP1b1/P1NP1N2/2P2PPP/R1BQ1RK1 w kq - 1 9,c1e3,1002,76,0,1001-1500
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PBnP1b1/P1NPBN2/2P2PPP/R2Q1RK1 b kq - 2 9,d4f3,-1,26,0,
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PB1P1b1/P1NPBn2/2P2PPP/R2Q1RK1 w kq - 0 10,g2f3,1002,14,0,1001-1500
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PB1P1b1/P1NPBP2/2P2P1P/R2Q1RK1 b kq - 0 10,g4h3,-1,6,0,
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PB1P3/P1NPBP1b/2P2P1P/R2Q1RK1 w kq - 1 11,f1e1,1002,3,1,1001-1500
r2qk2r/ppp2ppp/1b1p1n2/4p3/1PB1P3/P1NPBP1b/2P2P1P/R2QR1K1 b kq - 2 11,f6h5,-1,117,0,
r2qk2r/ppp2ppp/1b1p4/4p2n/1PB1P3/P1NPBP1b/2P2P1P/R2QR1K1 w kq - 3 12,g1h1,1002,18,1,1001-1500
r2qk2r/ppp2ppp/1b1p4/4p2n/1PB1P3/P1NPBP1b/2P2P1P/R2QR2K b kq - 4 12,d8h4,-1,23,0,
r3k2r/ppp2ppp/1b1p4/4p2n/1PB1P2q/P1NPBP1b/2P2P1P/R2QR2K w kq - 5 13,d3d4,1002,2,1,1001-1500
r3k2r/ppp2ppp/1b1p4/4p2n/1PBPP2q/P1N1BP1b/2P2P1P/R2QR2K b kq - 0 13,h5f4,-1,48,0,
r3k2r/ppp2ppp/1b1p4/4p3/1PBPPn1q/P1N1BP1b/2P2P1P/R2QR2K w kq - 1 14,e1g1,1002,7,1,1001-1500
r3k2r/ppp2ppp/1b1p4/4p3/1PBPPn1q/P1N1BP1b/2P2P1P/R2Q2RK b kq - 2 14,e8g8,-1,3,1,
r4rk1/ppp2ppp/1b1p4/4p3/1PBPPn1q/P1N1BP1b/2P2P1P/R2Q2RK w - - 3 15,c3d5,1002,8,1,1001-1500
r4rk1/ppp2ppp/1b1p4/3Np3/1PBPPn1q/P3BP1b/2P2P1P/R2Q2RK b - - 4 15,c7c6,-1,7,1,
r4rk1/pp3ppp/1bpp4/3Np3/1PBPPn1q/P3BP1b/2P2P1P/R2Q2RK w - - 0 16,d5b6,1002,3,1,1001-1500
r4rk1/pp3ppp/1Npp4/4p3/1PBPPn1q/P3BP1b/2P2P1P/R2Q2RK b - - 0 16,a7b6,-1,3,0,
r4rk1/1p3ppp/1ppp4/4p3/1PBPPn1q/P3BP1b/2P2P1P/R2Q2RK w - - 0 17,d4e5,1002,37,0,1001-1500
r4rk1/1p3ppp/1ppp4/4P3/1PB1Pn1q/P3BP1b/2P2P1P/R2Q2RK b - - 0 17,b6b5,-1,3,1,
r4rk1/1p3ppp/2pp4/1p2P3/1PB1Pn1q/P3BP1b/2P2P1P/R2Q2RK w - - 0 18,e3f4,1002,12,1,1001-1500
r4rk1/1p3ppp/2pp4/1p2P3/1PB1PB1q/P4P1b/2P2P1P/R2Q2RK b - - 0 18,h4f4,-1,7,0,
r4rk1/1p3ppp/2pp4/1p2P3/1PB1Pq2/P4P1b/2P2P1P/R2Q2RK w - - 0 19,c4b3,1002,21,1,1001-1500
r4rk1/1p3ppp/2pp4/1p2P3/1P2Pq2/PB3P1b/2P2P1P/R2Q2RK b - - 1 19,d6e5,-1,14,0,
r4rk1/1p3ppp/2p5/1p2p3/1P2Pq2/PB3P1b/2P2P1P/R2Q2RK w - - 0 20,g1g3,1002,12,1,1001-1500
r4rk1/1p3ppp/2p5/1p2p3/1P2Pq2/PB3PRb/2P2P1P/R2Q3K b - - 1 20,f8d8,-1,21,1,
r2r2k1/1p3ppp/2p5/1p2p3/1P2Pq2/PB3PRb/2P2P1P/R2Q3K w - - 2 21,d1g1,1002,5,1,1001-1500
r2r2k1/1p3ppp/2p5/1p2p3/1P2Pq2/PB3PRb/2P2P1P/R5QK b - - 3 21,g7g6,-1,405,0,
r2r2k1/1p3p1p/2p3p1/1p2p3/1P2Pq2/PB3PRb/2P2P1P/R5QK w - - 0 22,g3h3,1002,45,1,1001-1500
r2r2k1/1p3p1p/2p3p1/1p2p3/1P2Pq2/PB3P1R/2P2P1P/R5QK b - - 0 22,d8d2,-1,30,0,
r5k1/1p3p1p/2p3p1/1p2p3/1P2Pq2/PB3P1R/2Pr1P1P/R5QK w - - 1 23,g1g3,1002,43,1,1001-1500
r5k1/1p3p1p/2p3p1/1p2p3/1P2Pq2/PB3PQR/2Pr1P1P/R6K b - - 2 23,f4g3,-1,35,0,
r5k1/1p3p1p/2p3p1/1p2p3/1P2P3/PB3PqR/2Pr1P1P/R6K w - - 0 24,h3g3,1002,11,1,1001-1500
r5k1/1p3p1p/2p3p1/1p2p3/1P2P3/PB3PR1/2Pr1P1P/R6K b - - 0 24,d2f2,-1,6,0,
r5k1/1p3p1p/2p3p1/1p2p3/1P2P3/PB3PR1/2P2r1P/R6K w - - 0 25,a1d1,1002,5,1,1001-1500
r5k1/1p3p1p/2p3p1/1p2p3/1P2P3/PB3PR1/2P2r1P/3R3K b - - 1 25,b7b6,-1,3,1,
r5k1/5p1p/1pp3p1/1p2p3/1P2P3/PB3PR1/2P2r1P/3R3K w - - 0 26,h1g1,1002,35,1,1001-1500
r5k1/5p1p/1pp3p1/1p2p3/1P2P3/PB3PR1/2P2r1P/3R2K1 b - - 1 26,f2e2,-1,3,1,
r5k1/5p1p/1pp3p1/1p2p3/1P2P3/PB3PR1/2P1r2P/3R2K1 w - - 2 27,d1d7,1002,55,0,1001-1500
r5k1/3R1p1p/1pp3p1/1p2p3/1P2P3/PB3PR1/2P1r2P/6K1 b - - 3 27,a8a3,-1,14,1,
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/rB3PR1/2P1r2P/6K1 w - - 0 28,g1f1,1002,5,1,1001-1500
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/rB3PR1/2P1r2P/5K2 b - - 1 28,e2h2,-1,2,0,
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/rB3PR1/2P4r/5K2 w - - 0 29,f1g1,1002,7,1,1001-1500
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/rB3PR1/2P4r/6K1 b - - 1 29,a3a1,-1,415,0,
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/1B3PR1/2P4r/r5K1 w - - 2 30,g1h2,1002,79,0,1001-1500
6k1/3R1p1p/1pp3p1/1p2p3/1P2P3/1B3PR1/2P4K/r7 b - - 0 30,a1a4,-1,50,1,
6k1/3R1p1p/1pp3p1/1p2p3/rP2P3/1B3PR1/2P4K/8 w - - 1 31,b3f7,1002,365,1,1001-1500
6k1/3R1B1p/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 b - - 0 31,g8h8,-1,540,1,
7k/3R1B1p/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 w - - 1 32,d7d8,1002,631,0,1001-1500
3R3k/5B1p/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 b - - 2 32,h8g7,-1,163,1,
3R4/5Bkp/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 w - - 3 33,d8d7,1002,152,1,1001-1500
8/3R1Bkp/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 b - - 4 33,g7h8,-1,186,1,
7k/3R1B1p/1pp3p1/1p2p3/rP2P3/5PR1/2P4K/8 w - - 5 34,g3h3,1002,7,1,1001-1500
7k/3R1B1p/1pp3p1/1p2p3/rP2P3/5P1R/2P4K/8 b - - 6 34,a4b4,-1,1594,0,
7k/3R1B1p/1pp3p1/1p2p3/1r2P3/5P1R/2P4K/8 w - - 0 35,f7g6,1002,0,1,1001-1500
7k/3R3p/1pp3B1/1p2p3/1r2P3/5P1R/2P4K/8 b - - 0 35,h8g8,-1,2,0,
6k1/3R3p/1pp3B1/1p2p3/1r2P3/5P1R/2P4K/8 w - - 1 36,g6h7,1002,0,1,1001-1500
6k1/3R3B/1pp5/1p2p3/1r2P3/5P1R/2P4K/8 b - - 0 36,g8f8,-1,0,1,
5k2/3R3B/1pp5/1p2p3/1r2P3/5P1R/2P4K/8 w - - 1 37,h7f5,1002,0,1,1001-1500
5k2/3R4/1pp5/1p2pB2/1r2P3/5P1R/2P4K/8 b - - 2 37,f8g8,-1,0,1,
6k1/3R4/1pp5/1p2pB2/1r2P3/5P1R/2P4K/8 w - - 3 38,f5e6,1002,0,1,1001-1500
6k1/3R4/1pp1B3/1p2p3/1r2P3/5P1R/2P4K/8 b - - 4 38,g8f8,-1,0,0,
5k2/3R4/1pp1B3/1p2p3/1r2P3/5P1R/2P4K/8 w - - 5 39,h3h8,1002,0,1,1001-1500
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,1002,2,0,1001-1500
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,-1,8,0,
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,1002,3,0,1001-1500
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,g8f6,-1,50,0,
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,b1c3,1002,45,0,1001-1500
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,e7e6,-1,14,0,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,c1g5,1002,5,0,1001-1500
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 1 4,f8e7,-1,10,0,
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,e2e3,1002,9,0,1001-1500
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq - 0 5,e8g8,-1,6,0,
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR w KQ - 1 6,g5f4,1002,20,0,1001-1500
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR b KQ - 2 6,h7h6,-1,5,0,
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR w KQ - 0 7,g1f3,1002,3,0,1001-1500
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQ - 1 7,b8d7,-1,24,0,
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 2 8,f4g3,1002,30,0,1001-1500
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP4/2N1PNB1/PP3PPP/R2QKB1R b KQ - 3 8,d5c4,-1,43,0,
r1bq1rk1/pppnbpp1/4pn1p/8/2pP4/2N1PNB1/PP3PPP/R2QKB1R w KQ - 0 9,h2h3,1002,108,0,1001-1500
r1bq1rk1/pppnbpp1/4pn1p/8/2pP4/2N1PNBP/PP3PP1/R2QKB1R b KQ - 0 9,a7a6,-1,95,0,
r1bq1rk1/1ppnbpp1/p3pn1p/8/2pP4/2N1PNBP/PP3PP1/R2QKB1R w KQ - 0 10,f1c4,1002,53,0,1001-1500
r1bq1rk1/1ppnbpp1/p3pn1p/8/2BP4/2N1PNBP/PP3PP1/R2QK2R b KQ - 0 10,b7b5,-1,4,0,
r1bq1rk1/2pnbpp1/p3pn1p/1p6/2BP4/2N1PNBP/PP3PP1/R2QK2R w KQ - 0 11,c4d3,1002,7,0,1001-1500
r1bq1rk1/2pnbpp1/p3pn1p/1p6/3P4/2NBPNBP/PP3PP1/R2QK2R b KQ - 1 11,c8b7,-1,3,0,
r2q1rk1/1bpnbpp1/p3pn1p/1p6/3P4/2NBPNBP/PP3PP1/R2QK2R w KQ - 2 12,e1g1,1002,3,0,1001-1500
r2q1rk1/1bpnbpp1/p3pn1p/1p6/3P4/2NBPNBP/PP3PP1/R2Q1RK1 b - - 3 12,c7c5,-1,5,0,
r2q1rk1/1b1nbpp1/p3pn1p/1pp5/3P4/2NBPNBP/PP3PP1/R2Q1RK1 w - - 0 13,a2a3,1002,6,1,1001-1500
r2q1rk1/1b1nbpp1/p3pn1p/1pp5/3P4/P1NBPNBP/1P3PP1/R2Q1RK1 b - - 0 13,c5c4,-1,28,0,
r2q1rk1/1b1nbpp1/p3pn1p/1p6/2pP4/P1NBPNBP/1P3PP1/R2Q1RK1 w - - 0 14,d3c2,1002,12,0,1001-1500
r2q1rk1/1b1nbpp1/p3pn1p/1p6/2pP4/P1N1PNBP/1PB2PP1/R2Q1RK1 b - - 1 14,d7b6,-1,52,0,
r2q1rk1/1b2bpp1/pn2pn1p/1p6/2pP4/P1N1PNBP/1PB2PP1/R2Q1RK1 w - - 2 15,b2b3,1002,131,0,1001-1500
r2q1rk1/1b2bpp1/pn2pn1p/1p6/2pP4/PPN1PNBP/2B2PP1/R2Q1RK1 b - - 0 15,c4b3,-1,4,0,
r2q1rk1/1b2bpp1/pn2pn1p/1p6/3P4/PpN1PNBP/2B2PP1/R2Q1RK1 w - - 0 16,c2b3,1002,10,0,1001-1500
r2q1rk1/1b2bpp1/pn2pn1p/1p6/3P4/PBN1PNBP/5PP1/R2Q1RK1 b - - 0 16,a8c8,-1,9,0,
2rq1rk1/1b2bpp1/pn2pn1p/1p6/3P4/PBN1PNBP/5PP1/R2Q1RK1 w - - 1 17,c3e2,1002,4,1,1001-1500
2rq1rk1/1b2bpp1/pn2pn1p/1p6/3P4/PB2PNBP/4NPP1/R2Q1RK1 b - - 2 17,f6e4,-1,3,0,
2rq1rk1/1b2bpp1/pn2p2p/1p6/3Pn3/PB2PNBP/4NPP1/R2Q1RK1 w - - 3 18,g3f4,1002,1,1,1001-1500
2rq1rk1/1b2bpp1/pn2p2p/1p6/3PnB2/PB2PN1P/4NPP1/R2Q1RK1 b - - 4 18,b6d5,-1,2,1,
2rq1rk1/1b2bpp1/p3p2p/1p1n4/3PnB2/PB2PN1P/4NPP1/R2Q1RK1 w - - 5 19,f3e5,1002,26,1,1001-1500
2rq1rk1/1b2bpp1/p3p2p/1p1nN3/3PnB2/PB2P2P/4NPP1/R2Q1RK1 b - - 6 19,d5f4,-1,35,0,
2rq1rk1/1b2bpp1/p3p2p/1p2N3/3Pnn2/PB2P2P/4NPP1/R2Q1RK1 w - - 0 20,e2f4,1002,15,0,1001-1500
2rq1rk1/1b2bpp1/p3p2p/1p2N3/3PnN2/PB2P2P/5PP1/R2Q1RK1 b - - 0 20,e4c3,-1,86,0,
2rq1rk1/1b2bpp1/p3p2p/1p2N3/3P1N2/PBn1P2P/5PP1/R2Q1RK1 w - - 1 21,d1g4,1002,0,1,1001-1500
2rq1rk1/1b2bpp1/p3p2p/1p2N3/3P1NQ1/PBn1P2P/5PP1/R4RK1 b - - 2 21,e7g5,-1,40,0,
2rq1rk1/1b3pp1/p3p2p/1p2N1b1/3P1NQ1/PBn1P2P/5PP1/R4RK1 w - - 3 22,h3h4,1002,269,0,1001-1500
2rq1rk1/1b3pp1/p3p2p/1p2N1b1/3P1NQP/PBn1P3/5PP1/R4RK1 b - - 0 22,g5f4,-1,11,0,
2rq1rk1/1b3pp1/p3p2p/1p2N3/3P1bQP/PBn1P3/5PP1/R4RK1 w - - 0 23,e3f4,1002,23,1,1001-1500
2rq1rk1/1b3pp1/p3p2p/1p2N3/3P1PQP/PBn5/5PP1/R4RK1 b - - 0 23,d8d4,-1,32,0,
2r2rk1/1b3pp1/p3p2p/1p2N3/3q1PQP/PBn5/5PP1/R4RK1 w - - 0 24,e5f7,1002,8,1,1001-1500
2r2rk1/1b3Np1/p3p2p/1p6/3q1PQP/PBn5/5PP1/R4RK1 b - - 0 24,f8f7,-1,33,0,
2r3k1/1b3rp1/p3p2p/1p6/3q1PQP/PBn5/5PP1/R4RK1 w - - 0 25,b3e6,1002,20,1,1001-1500
2r3k1/1b3rp1/p3B2p/1p6/3q1PQP/P1n5/5PP1/R4RK1 b - - 0 25,c8f8,-1,48,1,
5rk1/1b3rp1/p3B2p/1p6/3q1PQP/P1n5/5PP1/R4RK1 w - - 1 26,a1e1,1002,5,1,1001-1500
5rk1/1b3rp1/p3B2p/1p6/3q1PQP/P1n5/5PP1/4RRK1 b - - 2 26,b7d5,-1,24,1,
5rk1/5rp1/p3B2p/1p1b4/3q1PQP/P1n5/5PP1/4RRK1 w - - 3 27,e6f7,1002,23,0,1001-1500
5rk1/5Bp1/p6p/1p1b4/3q1PQP/P1n5/5PP1/4RRK1 b - - 0 27,d5f7,-1,13,1,
5rk1/5bp1/p6p/1p6/3q1PQP/P1n5/5PP1/4RRK1 w - - 0 28,e1e7,1002,20,1,1001-1500
5rk1/4Rbp1/p6p/1p6/3q1PQP/P1n5/5PP1/5RK1 b - - 1 28,c3d5,-1,10,0,
5rk1/4Rbp1/p6p/1p1n4/3q1PQP/P7/5PP1/5RK1 w - - 2 29,e7d7,1002,48,0,1001-1500
5rk1/3R1bp1/p6p/1p1n4/3q1PQP/P7/5PP1/5RK1 b - - 3 29,d4f4,-1,157,0,
5rk1/3R1bp1/p6p/1p1n4/5qQP/P7/5PP1/5RK1 w - - 0 30,g4f4,1002,20,0,1001-1500
5rk1/3R1bp1/p6p/1p1n4/5Q1P/P7/5PP1/5RK1 b - - 0 30,d5f4,-1,3,1,
5rk1/3R1bp1/p6p/1p6/5n1P/P7/5PP1/5RK1 w - - 0 31,f1e1,1002,21,1,1001-1500
5rk1/3R1bp1/p6p/1p6/5n1P/P7/5PP1/4R1K1 b - - 1 31,a6a5,-1,12,1,
5rk1/3R1bp1/7p/pp6/5n1P/P7/5PP1/4R1K1 w - - 0 32,g2g3,1002,92,0,1001-1500
5rk1/3R1bp1/7p/pp6/5n1P/P5P1/5P2/4R1K1 b - - 0 32,f4h3,-1,1,0,
5rk1/3R1bp1/7p/pp6/7P/P5Pn/5P2/4R1K1 w - - 1 33,g1g2,1002,15,1,1001-1500
5rk1/3R1bp1/7p/pp6/7P/P5Pn/5PK1/4R3 b - - 2 33,h3f2,-1,10,1,
5rk1/3R1bp1/7p/pp6/7P/P5P1/5nK1/4R3 w - - 0 34,g2f2,1002,284,0,1001-1500
5rk1/3R1bp1/7p/pp6/7P/P5P1/5K2/4R3 b - - 0 34,b5b4,-1,518,0,
5rk1/3R1bp1/7p/p7/1p5P/P5P1/5K2/4R3 w - - 0 35,a3b4,1002,342,0,1001-1500
5rk1/3R1bp1/7p/p7/1P5P/6P1/5K2/4R3 b - - 0 35,f7e6,-1,15,1,
5rk1/3R2p1/4b2p/p7/1P5P/6P1/5K2/4R3 w - - 1 36,f2g1,1002,10,1,1001-1500
5rk1/3R2p1/4b2p/p7/1P5P/6P1/8/4R1K1 b - - 2 36,e6d7,-1,8,0,
5rk1/3b2p1/7p/p7/1P5P/6P1/8/4R1K1 w - - 0 37,b4a5,1002,0,1,1001-1500
5rk1/3b2p1/7p/P7/7P/6P1/8/4R1K1 b - - 0 37,f8a8,-1,7,0,
r5k1/3b2p1/7p/P7/7P/6P1/8/4R1K1 w - - 1 38,e1a1,1002,6,0,1001-1500
r5k1/3b2p1/7p/P7/7P/6P1/8/R5K1 b - - 2 38,d7b5,-1,52,0,
r5k1/6p1/7p/Pb6/7P/6P1/8/R5K1 w - - 3 39,g1f2,1002,9,1,1001-1500
r5k1/6p1/7p/Pb6/7P/6P1/5K2/R7 b - - 4 39,b5d7,-1,19,1,
r5k1/3b2p1/7p/P7/7P/6P1/5K2/R7 w - - 5 40,f2e3,1002,2,0,1001-1500
r5k1/3b2p1/7p/P7/7P/4K1P1/8/R7 b - - 6 40,g8f7,-1,28,0,
r7/3b1kp1/7p/P7/7P/4K1P1/8/R7 w - - 7 41,e3d4,1002,38,0,1001-1500
r7/3b1kp1/7p/P7/3K3P/6P1/8/R7 b - - 8 41,f7e6,-1,51,0,
r7/3b2p1/4k2p/P7/3K3P/6P1/8/R7 w - - 9 42,d4c5,1002,9,1,1001-1500
r7/3b2p1/4k2p/P1K5/7P/6P1/8/R7 b - - 10 42,e6e5,-1,161,0,
r7/3b2p1/7p/P1K1k3/7P/6P1/8/R7 w - - 11 43,a5a6,1002,14,1,1001-1500
r7/3b2p1/P6p/2K1k3/7P/6P1/8/R7 b - - 0 43,a8c8,-1,0,1,
2r5/3b2p1/P6p/2K1k3/7P/6P1/8/R7 w - - 1 44,c5b6,1002,5,0,1001-1500
2r5/3b2p1/PK5p/4k3/7P/6P1/8/R7 b - - 2 44,c8c6,-1,18,1,
8/3b2p1/PKr4p/4k3/7P/6P1/8/R7 w - - 3 45,b6b7,1002,6,1,1001-1500
8/1K1b2p1/P1r4p/4k3/7P/6P1/8/R7 b - - 4 45,e5d6,-1,206,0,
8/1K1b2p1/P1rk3p/8/7P/6P1/8/R7 w - - 5 46,a6a7,1002,0,1,1001-1500
8/PK1b2p1/2rk3p/8/7P/6P1/8/R7 b - - 0 46,c6c7,-1,0,0,
8/PKrb2p1/3k3p/8/7P/6P1/8/R7 w - - 1 47,b7b8,1002,0,0,1001-1500
1K6/P1rb2p1/3k3p/8/7P/6P1/8/R7 b - - 2 47,c7c8,-1,0,0,
1Kr5/P2b2p1/3k3p/8/7P/6P1/8/R7 w - - 3 48,b8b7,1002,0,1,1001-1500
2r5/PK1b2p1/3k3p/8/7P/6P1/8/R7 b - - 4 48,d7c6,-1,653,0,
2r5/PK4p1/2bk3p/8/7P/6P1/8/R7 w - - 5 49,b7c8,1002,5,0,1001-1500
2K5/P5p1/2bk3p/8/7P/6P1/8/R7 b - - 0 49,c6d7,-1,81,0,
2K5/P2b2p1/3k3p/8/7P/6P1/8/R7 w - - 1 50,c8d8,1002,23,1,1001-1500
3K4/P2b2p1/3k3p/8/7P/6P1/8/R7 b - - 2 50,d7c6,-1,7,0,
3K4/P5p1/2bk3p/8/7P/6P1/8/R7 w - - 3 51,a1a6,1002,26,1,1001-1500
3K4/P5p1/R1bk3p/8/7P/6P1/8/8 b - - 4 51,d6c5,-1,27,0,
3K4/P5p1/R1b4p/2k5/7P/6P1/8/8 w - - 5 52,a7a8q,1002,220,0,1001-1500
Q2K4/6p1/R1b4p/2k5/7P/6P1/8/8 b - - 0 52,c6a8,-1,88,0,
b2K4/6p1/R6p/2k5/7P/6P1/8/8 w - - 0 53,a6a8,1002,24,1,1001-1500
R2K4/6p1/7p/2k5/7P/6P1/8/8 b - - 0 53,c5d4,-1,2732,0,
R2K4/6p1/7p/8/3k3P/6P1/8/8 w - - 1 54,h4h5,1002,5,1,1001-1500
R2K4/6p1/7p/7P/3k4/6P1/8/8 b - - 0 54,d4e5,-1,23,0,
R2K4/6p1/7p/4k2P/8/6P1/8/8 w - - 1 55,d8e7,1002,83,1,1001-1500
R7/4K1p1/7p/4k2P/8/6P1/8/8 b - - 2 55,e5f5,-1,260,1,
R7/4K1p1/7p/5k1P/8/6P1/8/8 w - - 3 56,a8a5,1002,209,1,1001-1500
8/4K1p1/7p/R4k1P/8/6P1/8/8 b - - 4 56,f5g4,-1,206,0,
8/4K1p1/7p/R6P/6k1/6P1/8/8 w - - 5 57,e7f7,1002,316,0,1001-1500
8/5Kp1/7p/R6P/6k1/6P1/8/8 b - - 6 57,g7g5,-1,1143,0,
8/5K2/7p/R5pP/6k1/6P1/8/8 w - g6 0 58,h5g6,1002,4,1,1001-1500
8/5K2/6Pp/R7/6k1/6P1/8/8 b - - 0 58,h6h5,-1,8,0,
